Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
KEGG,Longevity regulating pathway,1.270705e-20,2.083955e-18,6746.26,12,RPTOR; PRKAA1; STK11; PRKAA2; RPS6KB1; PPARG; ULK1; PIK3R1; SIRT1; MTOR; IGF1R; ATG5,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; MECASERMIN; Metformin; ROSIGLITAZONE; Rapamycin; Resveratrol; Spermidine,Yes
KEGG,Autophagy,5.078521e-19,4.164387e-17,4458.41,12,RPTOR; BECN1; PRKAA1; STK11; PRKAA2; RPS6KB1; BCL2; ULK1; PIK3R1; MTOR; IGF1R; ATG5,DACTOLISIB; GEDATOLISIB; MECASERMIN; Metformin; Rapamycin; Spermidine; VENETOCLAX,Yes
KEGG,AMPK signaling pathway,1.125831e-17,6.154543e-16,4116.81,11,RPTOR; PRKAA1; STK11; PRKAA2; RPS6KB1; PPARG; ULK1; PIK3R1; SIRT1; MTOR; IGF1R,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; MECASERMIN; Metformin; ROSIGLITAZONE; Rapamycin; Resveratrol; Spermidine,Yes
KEGG,PI3K-Akt signaling pathway,2.580177e-17,1.057873e-15,1929.60,14,PRKAA1; FLT1; PRKAA2; PIK3R1; MTOR; IGF1R; GHR; RPTOR; IL6; STK11; RPS6KB1; BCL2; FGFR1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; Metformin; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; SILTUXIMAB; SOMATROPIN; VENETOCLAX,Yes
GO_BP,Protein Phosphorylation (GO:0006468),3.135590e-15,1.642727e-12,1171.50,14,BECN1; PRKAA1; FLT1; PRKAA2; SRC; MTOR; IGF1R; STK11; RPS6KB1; ABL1; ULK1; RICTOR; EPHB2; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; Metformin; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; Spermidine,No
GO_BP,Negative Regulation Of Programmed Cell Death (GO:0043069),3.171288e-15,1.642727e-12,1359.86,13,BECN1; PRKAA1; PRKAA2; SRC; PIK3R1; SIRT1; MTOR; IGF1R; IL6; RPS6KB1; BCL2; RICTOR; ATG5,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; Metformin; Rapamycin; Resveratrol; SILTUXIMAB; Spermidine; VENETOCLAX,No
KEGG,mTOR signaling pathway,1.434779e-14,4.706076e-13,2194.30,10,RPTOR; PRKAA1; STK11; PRKAA2; RPS6KB1; ULK1; RICTOR; PIK3R1; MTOR; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; Metformin; Rapamycin; Spermidine,Yes
GO_BP,Response To Nutrient Levels (GO:0031667),5.243577e-14,1.810782e-11,6628.37,7,RPTOR; PRKAA1; PRKAA2; RPS6KB1; ULK1; RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin; Spermidine,No
Reactome,Macroautophagy R-HSA-1632852,5.958209e-14,2.252203e-11,2469.05,9,RPTOR; BECN1; PRKAA1; MAP1LC3B; PRKAA2; SRC; ULK1; MTOR; ATG5,DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; Rapamycin; Spermidine,Yes
Reactome,Autophagy R-HSA-9612973,1.729201e-13,3.268190e-11,2100.87,9,RPTOR; BECN1; PRKAA1; MAP1LC3B; PRKAA2; SRC; ULK1; MTOR; ATG5,DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; Rapamycin; Spermidine,Yes
GO_BP,Cellular Response To Nutrient Levels (GO:0031669),2.020152e-13,5.232193e-11,3021.74,8,RPTOR; PRKAA1; MAP1LC3B; PRKAA2; ULK1; RICTOR; SIRT1; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin; Resveratrol; Spermidine,No
GO_BP,Cellular Response To Starvation (GO:0009267),1.032381e-11,2.139093e-09,1547.57,8,RPTOR; BECN1; PRKAA1; MAP1LC3B; PRKAA2; SIRT1; MTOR; ATG5,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin; Resveratrol; Spermidine,No
GO_BP,Phosphorylation (GO:0016310),1.473874e-11,2.544890e-09,675.40,11,RPTOR; BECN1; PRKAA1; STK11; PRKAA2; ABL1; ULK1; RICTOR; EPHB2; MTOR; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; Spermidine,No
Reactome,MTOR Signaling R-HSA-165159,2.898601e-11,3.652237e-09,3455.05,6,RPTOR; PRKAA1; STK11; PRKAA2; RPS6KB1; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,Yes
GO_BP,Glucose Homeostasis (GO:0042593),4.324398e-11,6.400109e-09,1805.76,7,IL6; PRKAA1; STK11; PRKAA2; PPARG; PIK3R1; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; Metformin; ROSIGLITAZONE; Resveratrol; SILTUXIMAB,No
GO_BP,Negative Regulation Of Apoptotic Process (GO:0043066),5.137516e-11,6.653084e-09,567.84,11,IL6; PRKAA1; PRKAA2; RPS6KB1; SRC; BCL2; RICTOR; PIK3R1; SIRT1; MTOR; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; Metformin; Rapamycin; Resveratrol; SILTUXIMAB; VENETOCLAX,No
GO_BP,Protein Autophosphorylation (GO:0046777),7.832163e-11,9.015690e-09,1088.84,8,STK11; FLT1; SRC; ABL1; ULK1; MTOR; FGFR1; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; Metformin; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; Spermidine,No
GO_BP,Regulation Of Apoptotic Process (GO:0042981),1.619585e-10,1.677890e-08,418.06,12,IL6; PRKAA1; PRKAA2; RPS6KB1; SRC; BCL2; ABL1; RICTOR; PIK3R1; SIRT1; MTOR; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; Metformin; Rapamycin; Resveratrol; SILTUXIMAB; VENETOCLAX,No
KEGG,HIF-1 signaling pathway,2.156754e-10,5.895128e-09,1319.46,7,IL6; FLT1; RPS6KB1; BCL2; PIK3R1; MTOR; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; SILTUXIMAB; VENETOCLAX,No
GO_BP,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),2.278739e-10,2.146158e-08,681.46,9,GHR; FLT1; SRC; NAMPT; PIK3R1; EPHB2; FGFR1; EPHA2; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Resveratrol; SOMATROPIN,No
GO_BP,Positive Regulation Of Cellular Process (GO:0048522),4.732267e-10,4.085524e-08,413.37,11,RPTOR; IL6; PRKAA1; PRKAA2; NAMPT; BCL2; RICTOR; SIRT1; MTOR; FGFR1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; Metformin; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; Resveratrol; SILTUXIMAB; VENETOCLAX,No
Reactome,Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972,6.191170e-10,5.850655e-08,3524.25,5,RPTOR; PRKAA1; STK11; PRKAA2; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,Yes
